5,2
61,3
153,4
17189,5
17213,8
19694,9
22274,10
29908,11
37578,12
43090,14
43092,15
43113,22
43217,25
45620,29
45851,35
45973,41
47578,44
47833,48
48049,53
48241,55
48511,59
61506,60
66894,68
71596,82
84246,86
110630,105
114076,107
114325,143
124708,156
125965,171
126486,179
127144,202
127292,214
127401,246
127447,275
127726,291
128366,329
128539,416
128564,459
128581,560
129272,567
129305,634
129407,660
129743,753
129974,826
130005,944
130201,1058
130265,1096
130266,1174
130394,1252
130478,1346
130501,1437
130687,1492
130833,1575
131805,1658
132025,1686
132600,1748
132758,1829
133073,2005
133374,2019
179396,2104
180044,2196
192204,2280
196104,2313
197900,2398
198832,2493
216850,2505
345429,2544
529390,2616
529914,2686
530421,2851
530828,2923
531088,2997
531291,3153
531377,3258
532297,3282
532305,3370
532331,3416
532410,3475
532439,3512
532516,3533
532646,3679
532937,3860
533081,3956
533106,4089
534913,4127
535620,4318
535708,4429
535783,4604
535810,4778
552761,4786
556466,4917
559605,4920
563467,5059
572608,5077
589904,5232
608461,5292
609630,5380
618727,5405
619804,5518
622410,5643
628696,5693
628892,5789
636866,5921
638264,5931
645165,5996
645334,6058
646069,6190
654406,6245
654792,6386
659587,6401
661643,6570
662038,6709
671109,6869
675022,7013
675560,7042
677381,7229
679473,7430
684045,7577
692573,7768
698621,7988
699737,8068
707777,8174
711014,8402
711668,8552
718674,8561
720062,8587
722068,8621
726826,8665
727736,8807
772680,8814
773580,8874
793708,9068
797100,9123
802685,9283
805734,9424
818280,9498
823901,9520
836747,9547
854717,9639
937129,9663
961913,9679
981262,9729
