3,3
189,4
2587,5
3098,8
4428,9
4448,19
5047,30
5113,34
5148,40
7663,43
21794,44
22103,46
22896,59
63282,66
115019,78
172264,97
173020,123
174618,124
177446,169
217791,195
236659,202
246417,228
249595,287
249928,370
249963,447
250815,515
258371,544
259067,563
260462,573
263091,584
266232,592
270167,649
276452,721
276715,812
278684,897
290369,903
291557,981
292691,1025
296824,1080
300777,1104
417845,1109
435624,1140
435701,1214
488988,1215
514308,1299
516753,1320
516923,1443
517103,1576
517214,1711
518710,1773
519941,1790
521458,1920
521657,2039
521826,2166
522890,2286
523198,2410
523217,2497
523504,2631
523863,2737
524341,2952
524620,2998
525230,3074
527351,3249
557888,3360
558516,3535
559487,3637
559893,3692
559959,3871
663902,3904
700009,3971
786760,4066
823695,4123
