5,2
189,4
460,10
833,11
943,13
1296,14
2043,18
2048,20
2106,31
12829,36
12901,45
14105,56
25682,59
29608,62
30583,87
31028,92
31075,98
33133,127
178093,128
189750,140
221713,149
221932,151
225529,182
226363,239
234023,267
236496,296
243131,352
244978,385
245041,421
247344,475
249607,480
268533,488
275028,602
276515,655
278714,735
291245,812
318508,864
318614,865
319172,965
319443,1077
333593,1109
334500,1246
417575,1321
519556,1341
540352,1346
560369,1367
580189,1382
595286,1405
598570,1594
598708,1764
599261,1924
632122,1948
632355,2015
636349,2093
638357,2168
644609,2172
648161,2341
677167,2353
687616,2363
766476,2423
803335,2470
879512,2629
939340,2696
