12,2
152,4
320,5
360,6
114512,7
130555,8
160055,9
165751,13
166577,15
166580,17
166588,21
166590,23
166597,25
166598,26
166638,39
166648,51
166655,70
166712,72
166725,79
166731,86
263230,107
263973,121
264792,151
265772,166
270174,174
274582,204
349136,273
350043,325
350747,378
350905,446
350930,526
351287,616
351585,690
351611,764
352808,836
352964,959
353048,1088
353090,1153
353098,1190
353103,1243
353213,1393
353587,1535
354299,1657
354327,1705
354430,1754
354436,1881
354452,1920
357504,2061
368737,2148
369155,2233
382053,2243
413671,2271
416852,2329
435981,2368
496814,2456
497351,2508
506983,2527
525534,2564
556808,2639
691105,2653
766672,2733
781889,2866
796720,2918
806786,3037
807840,3141
825018,3238
827177,3351
831624,3427
834251,3518
837134,3627
840427,3666
847597,3731
855163,3804
855238,3884
979950,3939
